reference_number,first_name,middle_name,last_name,gender,date_of_birth,civil_status,religion,sss_number,tin_number,property_area,residency_and_citizenship,contact_number,email_address,facebook_account,no_and_street,barangay,municipality,province,resident_status,length_of_stay,permanent_address,provincial_address,parents_address,education,course,school_last_attended,year_graduated,source_of_funds,employer_business_name,employer_contact_number,position,employment_status,monthly_net_income,employer_business_address,other_income,other_monthly_income,food_and_groceries,electric_and_water,education_and_misc,other_expense,make_brand,series,year_model,variant,color,plate_no,engine_no,chassis_no,transmission,fuel,dealer_name,dealer_address,dealer_contact_number,loan_type,estimated_vehicle_value,down_payment_percentage,loan_amount_term,loan_purpose,marketing_source,sales_representative
250326123078,Quentin,Pelicano,Taylor,M,1991-04-24,Y,Roman Catholic,213-54-8803,987-65-4398,Urban,Resident Filipino Citizen,9123456866,user78@example.com,fb.com/user78,159 Pear St.,Barangay La Paz,Mandaluyong City,Metro Manila,Residence,5_to_10_years,"987 Cedar Rd., Pateros",753 Provincial Rd.,"369 Parent St., Las Pinas",Graduate,Civil Engineering,University of the Philippines,2017,Salary,Vida Health Services,0917-123-4644,Event Planner,Employee,26472.19,"987 Health St., Quezon City",None,0,2500,2000,1000,20972.19,Chevrolet,Trailblazer,2021,LT,Red,JKL6806,D4HB-123473,KNAE35A22L123473,Automatic,Gas,Chevrolet Global City,"987 Auto Loop, Taguig",0917-678-9012,New,533070.3125,0.2,36,,,
250326123079,Rachel,Boborol,Moore,F,1989-02-02,Y,Iglesia ni Cristo,213-54-8804,987-65-4399,Urban,Resident Filipino Citizen,9123456867,user79@example.com,fb.com/user79,357 Fig Ave.,Barangay San Antonio,Pasay City,Metro Manila,Residence,1_to_3_years,"159 Birch St., Makati City",456 Provincial Rd.,"852 Parent Rd., Quezon City",Graduate,Public Administration,University of the Philippines,2018,Support From Relative,Sunshine Bakery,0917-123-4645,Mechanical Engineer,Unemployed,38100,"123 Bakery St., Makati",None,0,2500,2000,1000,32600,Kia,Sportage,2019,EX,Green,JKL6807,D4HB-123474,KNAE35A22L123474,Automatic,Gas,Kia Cubao,"214 Vehicle St., Cubao",0917-789-0123,New,87500,0.2,12,,,
250326123080,Samuel,Cabico,Jackson,M,1990-11-09,Y,Muslim,213-54-8805,987-65-4400,Urban,Resident Filipino Citizen,9123456868,user80@example.com,fb.com/user80,468 Kiwi Ln.,Barangay Malanday,Makati City,Metro Manila,Residence,1_to_3_years,"753 Ash St., San Juan City",147 Provincial Rd.,"963 Parent St., Malabon",Graduate,Fine Arts,Technological Institute of the Philippines,2017,Income from Business,Elegant Events,0917-123-4646,Janitor,Registered Business,150000,"456 Event Ave., Taguig",None,0,2500,2000,1000,144500,Hyundai,Tucson,2020,GLS,Yellow,JKL6808,D4HB-123475,KNAE35A22L123475,Automatic,Gas,Hyundai Makati,"678 Car World Ave., Makati",0917-890-1234,New,400000,0.2,24,,,
250326123081,Tiffany,Villa,Martin,F,1992-06-21,Y,Baptist,213-54-8806,987-65-4401,Urban,Resident Filipino Citizen,9123456869,user81@example.com,fb.com/user81,246 Watermelon Cir.,Barangay Tumana,Quezon City,Metro Manila,Residence,5_to_10_years,"246 Oak St., Mandaluyong City",258 Provincial Rd.,"345 Parent St., Navotas",Graduate,Engineering Management,University of the Philippines,2021,Salary,Top Notch Engineering,0917-123-4647,Travel Agent,Employee,55565,"789 Engineer Rd., Manila",None,0,2500,2000,1000,50065,Subaru,Forester,2022,2.0i,Silver,JKL6809,D4HB-123476,KNAE35A22L123476,Automatic,Gas,Subaru Manila,"135 Subaru Road, QC",0917-901-2345,New,481250,0.2,24,,,
250326123082,Ulysses,Balbuena,Lee,M,1994-12-09,N,Roman Catholic,213-54-8807,987-65-4402,Urban,Resident Filipino Citizen,9123456870,user82@example.com,fb.com/user82,135 Blueberry Rd.,Barangay San Antonio,Makati City,Metro Manila,Residence,1_to_3_years,"357 Willow St., Pasay City",654 Provincial Rd.,"9753 Parent St., Caloocan",Graduate,Philosophy,University of the East,2022,Salary,Quick Clean Solutions,0917-123-4648,Real Estate Agent,Employee,43263,"321 Clean St., Caloocan",None,0,2500,2000,1000,37763,Suzuki,Vitara,2019,GLX,Blue,JKL6810,D4HB-123477,KNAE35A22L123477,Automatic,Gas,Suzuki BGC,"246 SUV St., BGC",0917-012-3456,New,125000,0.2,18,,,
250326123083,Vanessa,Diesta,Perez,F,1974-11-19,Y,Iglesia ni Cristo,213-54-8808,987-65-4403,Urban,Resident Filipino Citizen,9123456871,user83@example.com,fb.com/user83,864 Raspberry St.,Barangay San Antonio,Makati City,Metro Manila,Residence,1_to_3_years,"951 Cherry Ln., Makati City",9843 Provincial Rd.,"159 Parent St., Taguig",Graduate,Social Work,University of Santo Tomas,2020,Salary,Sky High Travel Agency,0917-123-4649,IT Specialist,Employee,75005,"654 Travel Blvd., Pasig",None,0,2500,2000,1000,69505,Isuzu,D-Max,2021,LS,Black,JKL6811,D4HB-123478,KNAE35A22L123478,Automatic,Gas,Isuzu Manila,"356 Isuzu Ave., Manila",0917-123-4568,New,159635.625,0.2,12,,,
250326123084,William,Mata,Thompson,M,1981-08-21,N,Muslim,213-54-8809,987-65-4404,Urban,Resident Filipino Citizen,9123456872,user84@example.com,fb.com/user84,579 Strawberry Blvd.,Barangay San Miguel,Taguig City,Metro Manila,Residence,5_to_10_years,"135 Pine Rd., Quezon City",753 Provincial Rd.,"478 Parent St., Manila",Graduate,Biology,Far Eastern University,2019,Salary,Metro Realty,0917-123-4650,Pet Caretaker,Employee,56655,"789 Realty Rd., Makati",None,0,2500,2000,1000,51155,Toyota,Hilux,2020,G,White,JKL6812,D4HB-123479,KNAE35A22L123479,Automatic,Gas,Toyota Alabang,"876 Pickup Rd., Alabang",0917-234-5679,New,119674,0.2,36,,,
250326123085,Xavier,Lozada,White,M,1979-09-23,N,Baptist,213-54-8810,987-65-4405,Semi-Urban,Resident Filipino Citizen,9123456873,user85@example.com,fb.com/user85,687 Pine St.,Barangay Bagong Pag-asa,Quezon City,Metro Manila,Residence,5_to_10_years,"852 Palm St., Makati City",951 Provincial Rd.,"159 Parent St., Pasay",Graduate,Sociology,National University,2005,Salary,Dynamic Solutions IT,0917-123-4651,Store Manager,Employee,47894,"123 IT St., Quezon City",None,0,2500,2000,1000,42394,Honda,HR-V,2021,E,Red,JKL6813,D4HB-123480,KNAE35A22L123480,Automatic,Gas,Honda Pasig,"789 Honda St., Pasig",0917-345-6789,New,134947.5,0.2,24,,,
250326123086,Yolanda,Galario,Harris,F,1985-06-03,Y,Roman Catholic,213-54-8811,987-65-4406,Urban,Resident Filipino Citizen,9123456874,user86@example.com,fb.com/user86,924 Cedar Ave.,Barangay Sta. Cruz,San Juan City,Metro Manila,Residence,5_to_10_years,"246 Coconut St., Makati City",258 Provincial Rd.,"753 Parent St., Taguig",Graduate,Sports Management,University of the Philippines,2004,Salary,Happy Pet Boarding,0917-123-4652,Artisan,Employee,121750,"456 Pet Lane, Manila",None,0,2500,2000,1000,116250,Nissan,Terra,2022,VL,Black,JKL6814,D4HB-123481,KNAE35A22L123481,Automatic,Gas,Nissan Manila,"123 Nissan Ave., Manila",0917-456-7890,New,250000,0.2,24,,,
250326123087,Zachary,Carbonel,Sanchez,M,1992-07-29,Y,Iglesia ni Cristo,213-54-8812,987-65-4407,Urban,Resident Filipino Citizen,9123456875,user87@example.com,fb.com/user87,435 Oak Dr.,Barangay La Loma,Mandaluyong City,Metro Manila,Residence,less_than_6_months,"369 Banana Ave., Taguig City",123 Provincial Rd.,"456 Parent St., Pateros",Graduate,Creative Writing,Far Eastern University,2003,Salary,Brown's Grocery,0917-123-4653,Supervisor,Employee,97833,"789 Market St., Pasig",None,0,2500,2000,1000,92333,Mitsubishi,L300,2020,FB,White,JKL6815,D4HB-123482,KNAE35A22L123482,Automatic,Gas,Mitsubishi Ortigas,"456 Mitsubishi Rd., Ortigas",0917-567-8901,New,312500,0.2,24,,,
250326123088,Amanda,Mallare,Clark,F,1970-11-30,Y,Muslim,213-54-8813,987-65-4408,Semi-Urban,Resident Filipino Citizen,9123456876,user88@example.com,fb.com/user88,682 Elm Ln.,Barangay Sto. Nino,Pasay City,Metro Manila,Residence,1_to_3_years,"789 Grape St., Quezon City",654 Provincial Rd.,"789 Parent Rd., Mandaluyong",Graduate,Financial Management,School of Design,2018,Salary,Arts & Crafts Co.,0917-123-4654,Software Engineer,Employee,80000,"321 Art St., Taguig",None,0,2500,2000,1000,74500,Ford,EcoSport,2019,Trend,Blue,JKL6816,D4HB-123483,KNAE35A22L123483,Automatic,Gas,Ford Global City,"321 Ford St., BGC",0917-678-9012,New,530490,0.2,36,,,
250326123089,Brian,Felipe,Ramirez,M,1986-03-13,N,Baptist,213-54-8814,987-65-4409,Urban,Resident Filipino Citizen,9123456877,user89@example.com,fb.com/user89,573 Maple St.,Barangay Balong Bato,Marikina City,Metro Manila,Residence,1_to_3_years,"456 Cherry Blossom Ln., San Juan City",321 Provincial Rd.,"963 Parent St., Navotas",Graduate,Graphic Design,University of the Philippines,2021,Salary,Fresh Produce Suppliers,0917-123-4655,Clinic Manager,Employee,49175.15,"321 Farm St., Caloocan",None,0,2500,2000,1000,43675.15,Chevrolet,Tracker,2021,LT,Silver,JKL6817,D4HB-123484,KNAE35A22L123484,Automatic,Gas,Chevrolet Quezon City,"654 Chevy Ave., Quezon City",0917-789-0123,New,187500,0.2,12,,,
250326123090,Charlotte,Jacob,Lewis,F,1984-08-17,Y,Roman Catholic,213-54-8815,987-65-4410,Urban,Resident Filipino Citizen,9123456878,user90@example.com,fb.com/user90,831 Birch Way,Barangay San Roque,Marikina City,Metro Manila,Residence,1_to_3_years,"852 Fern St., Mandaluyong City",147 Provincial Rd.,"678 Parent St., Las Pinas",Graduate,Agriculture,University of Santo Tomas,2020,Salary,Tech Innovations,0917-123-4656,Site Engineer,Employee,67000,"456 Tech Park, Quezon City",None,0,2500,2000,1000,61500,Toyota,Innova,2020,G,Green,JKL6818,D4HB-123485,KNAE35A22L123485,Automatic,Gas,Toyota Mabuhay,"987 Toyota Rd., Quezon City",0917-890-1234,New,187500,0.2,12,,,
250326123091,David,LLORCA,Robinson,M,1963-02-25,Y,Iglesia ni Cristo,213-54-8816,987-65-4411,Semi-Urban,Resident Filipino Citizen,9123456879,user91@example.com,fb.com/user91,742 Spruce Ct.,Barangay San Juan,Taguig City,Metro Manila,Residence,5_to_10_years,"963 Heather Rd., Pasay City",258 Provincial Rd.,"321 Parent St., Caloocan",Graduate,Mass Communication,University of Santo Tomas,2019,Income from Business,Unified Health Systems,0917-123-4657,Consultant,Registered Business,52000,"789 Health Ave., Makati",None,0,2500,2000,1000,46500,Hyundai,Staria,2021,GLS,Black,JKL6819,D4HB-123486,KNAE35A22L123486,Automatic,Gas,Hyundai NLEX,"321 Hyundai Ave., NLEX",0917-901-2345,New,75000,0.2,12,,,
250326123092,Emily,Magbutay,Walker,F,1991-04-25,Y,Muslim,213-54-8817,987-65-4412,Urban,Resident Filipino Citizen,9123456880,user92@example.com,fb.com/user92,915 Walnut Blvd.,Barangay Pinagsama,Pasig City,Metro Manila,Residence,1_to_3_years,"789 Jasmine St., Marikina City",654 Provincial Rd.,"147 Parent St., Muntinlupa",Graduate,Sociology,De La Salle College of St. Benilde,2021,Salary,Premier Construction,0917-123-4658,Landscape Designer,Employee,140000,"321 Builder St., Manila",None,0,2500,2000,1000,134500,Subaru,XV,2022,2.0i,Orange,JKL6820,D4HB-123487,KNAE35A22L123487,Automatic,Gas,Subaru North EDSA,"456 Subaru Rd., Quezon City",0917-012-3456,New,82574,0.2,24,,,
250326123093,Franklin,OBINA,Young,M,1965-01-03,N,Baptist,213-54-8818,987-65-4413,Urban,Resident Filipino Citizen,9123456881,user93@example.com,fb.com/user93,234 Chestnut Cir.,Barangay Longos,Manila City,Metro Manila,Residence,1_to_3_years,"321 Lavender St., Marikina City",963 Provincial Rd.,"789 Parent St., Binan",Graduate,Film and Broadcasting,University of the Philippines,2018,Income from Business,Quality Service Solutions,0917-123-4659,Waitstaff,Registered Business,85000,"654 Service Rd., Taguig",None,0,2500,2000,1000,79500,Suzuki,Ertiga,2020,GA,Red,JKL6821,D4HB-123488,KNAE35A22L123488,Automatic,Gas,Suzuki Alabang,"789 Suzuki St., Alabang",0917-123-4567,New,125000,0.2,12,,,
250326123094,Grace,Tobias,Allen,F,1989-01-28,N,Roman Catholic,213-54-8819,987-65-4414,Semi-Urban,Resident Filipino Citizen,9123456882,user94@example.com,fb.com/user94,543 Juniper Ave.,Barangay North,Quezon City,Metro Manila,Residence,1_to_3_years,"456 Cantaloupe Rd., Taguig City",123 Provincial Rd.,"888 Parent St., Quezon City",Graduate,Creative Writing,Philippine High School for the Arts,2019,Salary,Green Fields Landscaping,0917-123-4660,Network Engineer,Employee,34965,"987 Green St., Pasig",None,0,2500,2000,1000,29465,Ford,Everest,2021,Titanium,Gray,JKL6822,D4HB-123489,KNAE35A22L123489,Automatic,Gas,Ford Manila,"123 Ford St., Manila",0917-345-6789,New,262500,0.2,24,,,
250326123095,Henry,Borromeo,King,M,1971-09-07,Y,Iglesia ni Cristo,213-54-8820,987-65-4415,Urban,Resident Filipino Citizen,9123456883,user95@example.com,fb.com/user95,876 Aspen Rd.,Barangay Munoz,Manila City,Metro Manila,Residence,5_to_10_years,"852 Calamansi St., Pasig City",111 Provincial Rd.,"222 Parent St., Quezon City",Graduate,Theater Arts,Mapua University,2021,Income from Business,Simple Eats Restaurant,0917-123-4661,Store Assistant,Registered Business,80000,"159 Food Lane, Quezon City",None,0,2500,2000,1000,74500,Kia,Seltos,2020,EX,Yellow,JKL6823,D4HB-123490,KNAE35A22L123490,Automatic,Gas,Kia Manila,"456 Kia Ave., Manila",0917-456-7890,New,273000,0.2,24,,,
250326123096,Isabella,Abundabar,Wright,F,1980-12-21,N,Muslim,213-54-8821,987-65-4416,Urban,Resident Filipino Citizen,9123456884,user96@example.com,fb.com/user96,678 Cypress St.,Barangay Fort Bonifacio,Quezon City,Metro Manila,Residence,5_to_10_years,"975 Lemon St., Manila City",333 Provincial Rd.,"444 Parent St., Makati City",Graduate,Data Science,University of Santo Tomas,2020,Salary,Silver Line Technologies,0917-123-4662,Sales Associate,Employee,69318.2,"753 Tech St., Makati",None,0,2500,2000,1000,63818.2,Isuzu,mu-X,2022,LTX,Black,JKL6824,D4HB-123491,KNAE35A22L123491,Automatic,Gas,Isuzu Cebu,"789 Isuzu Rd., Cebu",0917-567-8901,New,125000,0.2,12,,,
250326123097,Jack,NIMO,Scott,M,1980-07-23,N,Baptist,213-54-8822,987-65-4417,Semi-Urban,Resident Filipino Citizen,9123456885,user97@example.com,fb.com/user97,821 Willow Way,Barangay Poblacion,Pasay City,Metro Manila,Residence,5_to_10_years,"123 Lychee St., Quezon City",555 Provincial Rd.,"666 Parent St., Caloocan",Graduate,Architecture,University of the Philippines,2019,Income from Business,Urban Style Clothing,0917-123-4663,Coach,Registered Business,60000,"963 Fashion St., Manila",None,0,2500,2000,1000,54500,Isuzu,mu-X,2021,L-Edition,Silver,JKL6825,D4HB-123492,KNAE35A22L123492,Automatic,Gas,Isuzu Quezon City,"123 Isuzu Ave., Quezon City",0917-678-9012,New,262500,0.2,18,,,
250326123098,Kelly,Repas,Torres,F,1990-09-15,N,Roman Catholic,213-54-8823,987-65-4418,Urban,Resident Filipino Citizen,9123456886,user98@example.com,fb.com/user98,392 Redwood Ln.,Barangay Bagong Pag-asa,San Juan City,Metro Manila,Residence,1_to_3_years,"456 Olive St., Manila City",777 Provincial Rd.,"777 Parent St., Taguig",Graduate,Nutrition,Philippine Normal University,2021,Income from Business,Future Ready Cars,0917-123-4664,Vet Technician,Registered Business,115000,"321 Auto St., Taguig",None,0,2500,2000,1000,109500,Nissan,Navara,2020,EL,White,JKL6826,D4HB-123493,KNAE35A22L123493,Automatic,Gas,Nissan Alabang,"456 Nissan Rd., Alabang",0917-789-0123,New,262500,0.2,24,,,
250326123099,Lucas,Arce,Nguyen,M,1988-05-24,N,Iglesia ni Cristo,213-54-8824,987-65-4419,Urban,Resident Filipino Citizen,9123456887,user99@example.com,fb.com/user99,741 Acacia Dr.,Barangay Santo NiNo,Marikina City,Metro Manila,Residence,5_to_10_years,"789 Peach St., Quezon City",888 Provincial Rd.,"888 Parent St., Navotas",Graduate,Occupational Therapy,University of the East,2018,Income from Business,Youth Sports Academy,0917-123-4665,Teacher,Registered Business,70000,"654 Sport Ave., Pasig",None,0,2500,2000,1000,64500,Hyundai,Accent,2022,GL,Blue,JKL6827,D4HB-123494,KNAE35A22L123494,Automatic,Gas,Hyundai North EDSA,"789 Hyundai Rd., Quezon City",0917-890-1234,New,390000,0.2,24,,,
250326123100,Madison,Africa,Hill,F,1990-12-04,Y,Muslim,213-54-8825,987-65-4420,Semi-Urban,Resident Filipino Citizen,9123456888,user100@example.com,fb.com/user100,258 Magnolia Blvd.,Barangay Kalayaan,Manila City,Metro Manila,Residence,5_to_10_years,"159 Grapefruit Rd., Pasay City",999 Provincial Rd.,"999 Parent St., Manila",Graduate,Computer Science,Ateneo de Manila University,2015,Salary,Happy Tails Veterinary Clinic,0917-123-4666,Claims Adjuster,Employee,46000,"123 Animal Rd., Quezon City",None,0,2500,2000,1000,40500,Toyota,Hilux,2020,E,Black,JKL6828,D4HB-123495,KNAE35A22L123495,Automatic,Gas,Toyota Makati,"321 Toyota Ave., Makati",0917-901-2345,New,280322.5,0.2,24,,,
250326123101,Noah,Castillo,Flores,M,1990-02-18,N,Baptist,213-54-8826,987-65-4421,Urban,Resident Filipino Citizen,9123456889,user101@example.com,fb.com/user101,963 Camellia Cir.,Barangay Sta. Cruz,Taguig City,Metro Manila,Residence,1_to_3_years,"753 Papaya St., San Juan City",100 Provincial Rd.,"900 Parent St., Makati",Graduate,Business Administration,San Beda University,2014,Income from Business,Bright Future Learning Center,0917-123-4667,Marketing Specialist,Registered Business,167000,"456 Education St., Manila",None,0,2500,2000,1000,161500,Ford,EcoSport,2021,Trend,Red,JKL6829,D4HB-123496,KNAE35A22L123496,Automatic,Gas,Ford Global City,"654 Ford Blvd., BGC",0917-012-3456,New,195204.375,0.2,12,,,
250326123102,Olivia,Abella,Green,F,1987-11-18,Y,Roman Catholic,213-54-8827,987-65-4422,Urban,Resident Filipino Citizen,9123456890,user102@example.com,fb.com/user102,157 Dahlia St.,Barangay San Antonio,Malabon City,Metro Manila,Residence,5_to_10_years,"258 Watermelon St., Marikina City",200 Provincial Rd.,"800 Parent St., Taguig",Graduate,Accountancy,Laguna College,2013,Salary,Prime Health Insurance,0917-123-4668,Personal Trainer,Employee,54899.77,"789 Insurance Ave., Taguig",None,0,2500,2000,1000,49399.77,Mitsubishi,Adventure,2020,GLX,Yellow,JKL6830,D4HB-123497,KNAE35A22L123497,Automatic,Gas,Mitsubishi Manila,"987 Mitsubishi Rd., Manila",0917-123-4567,New,375000,0.2,12,,,
250326123103,Patrick,Molina,Adams,M,1981-03-16,Y,Iglesia ni Cristo,213-54-8828,987-65-4423,Urban,Resident Filipino Citizen,9123456891,user103@example.com,fb.com/user103,849 Tulip Ave.,Barangay Longos,Quezon City,Metro Manila,Residence,1_to_3_years,"753 Pomegranate St., Manila City",300 Provincial Rd.,"700 Parent St., Pasig",Graduate,Hospitality Management,De La Salle University,2012,Salary,Global Marketing Solutions,0917-123-4669,Therapist,Employee,70000,"321 Market St., Makati",None,0,2500,2000,1000,64500,Kia,Picanto,2021,EX,Green,JKL6831,D4HB-123498,KNAE35A22L123498,Automatic,Gas,Kia Pasig,"123 Kia Ave., Pasig",0917-234-5678,New,468750,0.2,36,,,
250326123104,Quinn,Ubiña,Nelson,F,1982-04-26,Y,Muslim,213-54-8829,987-65-4424,Urban,Resident Filipino Citizen,9123456892,user104@example.com,fb.com/user104,368 Orchid Rd.,Barangay Poblacion,San Juan City,Metro Manila,Residence,5_to_10_years,"369 Avocado St., Taguig City",400 Provincial Rd.,"600 Parent St., Caloocan",Graduate,Information Technology,Map?a University,2011,Salary ,Westside Fitness Studio,0917-123-4670,Sales Manager,Employee,66015.7,"654 Fit Ave., Quezon City",None,0,2500,2000,1000,60515.7,Honda,HR-V,2020,S,Gray,JKL6832,D4HB-123499,KNAE35A22L123499,Automatic,Gas,Honda Manila,"456 Honda St., Manila",0917-345-6789,New,638539.875,0.2,12,,,
250326123105,Rebecca,Raquepo,Baker,F,1995-11-28,N,Baptist,213-54-8830,987-65-4425,Urban,Resident Filipino Citizen,9123456893,user105@example.com,fb.com/user105,476 Rose Ln.,Barangay San Miguel,Taguig City,Metro Manila,Residence,5_to_10_years,"321 Zucchini St., Taguig City",123 Provincial Rd.,"111 Parent St., Muntinlupa",Graduate,Civil Engineering,University of the Philippines,2010,Salary ,Silver Linings Counseling,0917-123-4671,Baker,Employee,64000,"987 Mind St., Manila",None,0,2500,2000,1000,58500,Subaru,Forester,2022,2.0i,Silver,JKL6833,D4HB-123500,KNAE35A22L123500,Automatic,Gas,Subaru North EDSA,"789 Subaru Rd., Quezon City",0917-456-7890,New,262500,0.2,12,,,
250326123106,Sebastian,Duhiling,Hall,M,1947-10-18,Y,Roman Catholic,213-54-8831,987-65-4426,Urban,Resident Filipino Citizen,9123456894,user106@example.com,fb.com/user106,812 Sunflower Blvd.,Baesa,Manila City,Metro Manila,Residence,1_to_3_years,"369 Soursop St., Quezon City",555 Provincial Rd.,"444 Parent St., Manila",Graduate,Public Administration,University of Santo Tomas,2009,Salary ,Urban Garden Supplies,0917-123-4672,Product Manager,Employee,45000,"123 Greenhouse Ave., Makati",None,0,2500,2000,1000,39500,Chevrolet,Tracker,2021,LT,Blue,JKL6834,D4HB-123501,KNAE35A22L123501,Automatic,Gas,Chevrolet Alabang,"321 Chevrolet Rd., Alabang",0917-567-8901,New,287500,0.2,24,,,
250326123107,Taylor,Soquila,Rivera,F,1987-07-17,Y,Iglesia ni Cristo,213-54-8832,987-65-4427,Urban,Resident Filipino Citizen,9123456895,user107@example.com,fb.com/user107,547 Daisy Way,Mendez,Quezon City,Metro Manila,Residence,1_to_3_years,"258 Guava St., San Juan City",123 Provincial Rd.,"123 Parent St., Makati",Graduate,Psychology,Far Eastern University,2008,Salary ,Artisan Bread Co.,0917-123-4673,Gym Instructor,Employee,75300,"456 Bakery St., Pasig",None,0,2500,2000,1000,69800,Ford,Everest,2020,Titanium,Black,JKL6835,D4HB-123502,KNAE35A22L123502,Automatic,Gas,Ford Manila,"654 Ford Ave., Manila",0917-678-9012,New,187500,0.2,12,,,
250326123108,Ursula,Itliong,Campbell,M,1986-09-22,N,Muslim,213-54-8833,987-65-4428,Urban,Resident Filipino Citizen,9123456896,user108@example.com,fb.com/user108,693 Lavender Ct.,San Bartolome,Makati City,Metro Manila,Residence,1_to_3_years,"147 Moringa St., Taguig City",789 Provincial Rd.,"456 Parent St., Pasay",Graduate,Marketing,National University,2007,Salary ,Eco-Friendly Products,0917-123-4674,Teacher,Employee,158000,"789 Eco Rd., Quezon City",None,0,2500,2000,1000,152500,Nissan,Terra,2022,VL,Red,JKL6836,D4HB-123503,KNAE35A22L123503,Automatic,Gas,Nissan Quezon City,"987 Nissan Rd., Quezon City",0917-789-0123,New,125000,0.2,15,,,
250326123109,Victor,Alconis,Mitchell,F,1962-12-14,N,Baptist,213-54-8834,987-65-4429,Semi-Urban,Resident Filipino Citizen,9123456897,user109@example.com,fb.com/user109,524 Violet Cir.,Salazar,Taguig City,Metro Manila,Residence,5_to_10_years,"258 Tamarind Rd., Manila City",654 Provincial Rd.,"789 Parent St., Caloocan",Graduate,Architecture,University of the East,2006,Salary ,Family Fitness Center,0917-123-4675,Tutor,Employee ,58000,"321 Fitness Rd., Taguig",None,0,2500,2000,1000,52500,Mitsubishi,Montero Sport,2021,GT,Silver,JKL6837,D4HB-123504,KNAE35A22L123504,Automatic,Gas,Mitsubishi Pasig,"123 Mitsubishi Ave., Pasig",0917-890-1234,New,512500,0.2,24,,,
250326123110,Wendy,Lido,Carter,M,1990-09-15,N,Roman Catholic,213-54-8835,987-65-4430,Urban,Resident Filipino Citizen,9123456898,user110@example.com,fb.com/user110,735 Jasmine St.,Sto. Domingo,Manila City,Metro Manila,Residence,1_to_3_years,"369 Citrus Ave., Quezon City",432 Provincial Rd.,"234 Parent St., Malabon",Graduate,Nursing,University of Santo Tomas,2005,Income from Business,Joyful Learning Academy,0917-123-4676,Real Estate Agent,Registered Business,252200,"654 Education Ave., Manila",None,0,2500,2000,1000,246700,Hyundai,Staria,2022,GLS,White,JKL6838,D4HB-123505,KNAE35A22L123505,Automatic,Gas,Hyundai Alabang,"456 Hyundai St., Alabang",0917-901-2345,New,125000,0.2,12,,,
250326123111,Xavier,Ayson,Roberts,M,1988-08-20,N,Iglesia ni Cristo,213-54-8836,987-65-4431,Urban,Resident Filipino Citizen,9123456899,user111@example.com,fb.com/user111,981 Marigold Ave.,Rosa,Quezon City,Metro Manila,Residence,1_to_3_years,"789 Starfruit St., Makati City",321 Provincial Rd.,"567 Parent St., Navotas",Graduate,Pharmacy,Philippine Normal University,2004,Salary ,Bright Minds Tutoring Center,0917-123-4677,Cleaner,Employee,99547.75,"987 Tutor St., Pasig",None,0,2500,2000,1000,94047.75,Toyota,Innova,2020,G,Blue,JKL6839,D4HB-123506,KNAE35A22L123506,Automatic,Gas,Toyota Quezon City,"789 Toyota Rd., Quezon City",0917-012-3456,New,187500,0.2,12,,,
250326123112,Aaron,Tumali,Gomez,M,2003-08-12,N,Muslim,213-54-8837,987-65-4432,Urban,Resident Filipino Citizen,9123456900,user112@example.com,fb.com/user112,647 Azalea Dr.,Kolidor,Makati City,Metro Manila,Residence,1_to_3_years,"654 Mulberry St., Quezon City",758 Provincial Rd.,"678 Parent St., San Juan",Graduate,Education,Ateneo de Manila University,2003,Salary ,Premier Real Estate,0917-123-4678,Logistics Manager,Employee,66000,"321 Realty Blvd., Makati",None,0,2500,2000,1000,60500,Subaru,XV,2021,2.0i,Green,JKL6840,D4HB-123507,KNAE35A22L123507,Automatic,Gas,Subaru Makati,"321 Subaru Rd., Makati",0917-123-4567,New,125000,0.2,12,,,
250326123113,Abigail,Bancual,Rensal,F,1982-12-22,Y,Baptist,213-54-8838,987-65-4433,Urban,Resident Filipino Citizen,9123456901,user113@example.com,fb.com/user113,152 Lilac Rd.,Bote,Quezon City,Metro Manila,Residence,5_to_10_years,"321 Cassava St., San Juan City",456 Provincial Rd.,"234 Parent St., Taguig",Graduate,Journalism,University of the Philippines,2002,Salary ,Fresh Start Cleaners,0917-123-4679,Yoga Instructor,Employee,83991,"456 Clean St., Quezon City",None,0,2500,2000,1000,78491,Nissan,Navara,2020,EL,Black,JKL6841,D4HB-123508,KNAE35A22L123508,Automatic,Gas,Nissan Manila,"654 Nissan Ave., Manila",0917-234-5678,New,225000,0.2,24,,,
250326123114,Adam,RAMOS,Samson,M,1990-08-28,Y,Roman Catholic,213-54-8839,987-65-4434,Urban,Resident Filipino Citizen,9123456902,user114@example.com,fb.com/user114,389 Poppy Ln.,Orlando,San Juan City,Metro Manila,Residence,5_to_10_years,"852 Jackfruit St., Mandaluyong City",987 Provincial Rd.,"123 Parent St., Pasay",Graduate,Fine Arts,Technological Institute of the Philippines,2001,Income from Business,Starline Logistics,0917-123-4680,Personal Trainer,Registered Business,67401.315,"789 Cargo Rd., Manila",None,0,2500,2000,1000,61901.315,Ford,Ranger,2021,Wildtrak,Red,JKL6842,D4HB-123509,KNAE35A22L123509,Automatic,Gas,Ford Alabang,"987 Ford St., Alabang",0917-345-6789,New,214606.675,0.2,24,,,
